node	Arequipa	El Pedregal	Puno
root	0.00017930985908897945	0.00012720527753279086	0.9996934848633783
1101787_meta-illumina	0.0	0.0	1.0
n0	0.00017930985908897945	0.00012720527753279086	0.9996934848633783
1101786_meta-illumina	0.0	0.0	1.0
n00	0.00017930985908897945	0.00012720527753279086	0.9996934848633783
1203037_meta-illumina	0.0	0.0	1.0
n1	0.28035724564049114	0.2120169510068473	0.5076258033526615
n11	1.4815370826948238e-06	0.9999984715531487	4.690976865715242e-08
n44	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
187_2022_aqp13	0.0	1.0	0.0
167_2021_aqp13	1.0	0.0	0.0
n2	1.4815370826948238e-06	0.9999984715531487	4.690976865715242e-08
n5	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
196_2021_aqp13	1.0	0.0	0.0
71_2021_aqp12	0.0	1.0	0.0
n22	2.9698192149730647e-07	0.999999610395312	9.262276645566933e-08
n33	7.182615987869609e-11	0.9999999999057834	2.2390468127819753e-11
73_2021_aqp12	0.0	1.0	0.0
n55	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
n7	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
172_2022_aqp14	1.0	0.0	0.0
n3	0.0	1.0	0.0
68_2021_aqp12	0.0	1.0	0.0
n4	0.0	1.0	0.0
52_2021_aqp12	0.0	1.0	0.0
34_2021_aqp12	0.0	1.0	0.0
147_2021_aqp12	0.0	1.0	0.0
18_2021_aqp13	1.0	0.0	0.0
n6	0.9999963948208052	2.4285659974022057e-06	1.1766131973583818e-06
56_2021_aqp14	1.0	0.0	0.0
n77	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
231_2021_aqp14	1.0	0.0	0.0
n1111	1.0	0.0	0.0
202_2021_aqp12	0.0	1.0	0.0
107_2021_aqp12	0.0	1.0	0.0
251_2021_aqp12	0.0	1.0	0.0
250_2021_aqp12	0.0	1.0	0.0
148_2021_aqp13	1.0	0.0	0.0
40_2021_aqp14	1.0	0.0	0.0
n66	0.9999815817431282	1.240713705459845e-05	6.011119817225207e-06
n8	0.9999999999997475	1.358419691459519e-13	1.1660379080253876e-13
93_2021_aqp13	1.0	0.0	0.0
9_2021_aqp13	1.0	0.0	0.0
158_2022_aqp14	1.0	0.0	0.0
126_2021_aqp14	1.0	0.0	0.0
31_2021_aqp14	1.0	0.0	0.0
174_2021_aqp13	1.0	0.0	0.0
145_2022_aqp14	1.0	0.0	0.0
n88	1.0	0.0	0.0
n10	1.0	0.0	0.0
12_2021_aqp13	1.0	0.0	0.0
90_2021_aqp14	1.0	0.0	0.0
236_2022_aqp12	0.0	1.0	0.0
n9	0.9997769219030871	0.0001502726637780814	7.280543313484013e-05
n1010	0.999999982182279	1.200259659911983e-08	5.815124468893176e-09
30_2021_aqp14	1.0	0.0	0.0
n99	0.9999626794603064	2.5140329736578946e-05	1.2180209957064093e-05
219_2022_aqp14	1.0	0.0	0.0
92_2021_aqp13	1.0	0.0	0.0
61_2021_aqp14	1.0	0.0	0.0
173_2023_aqp14	1.0	0.0	0.0
147_2022_aqp14	1.0	0.0	0.0
